creationTime,0,1,2,3,4,5,6,7,8,9,10
1522630213467,chicago/traffic-lane/1127/thing/traffic-lane/1522630213467,,thing/traffic-lane,,27,-1,chicago/traffic-lane/1127,-87.7440666919,41.8512433072,41.865960857,-87.7446180929
1522630214357,chicago/traffic-lane/1273/thing/traffic-lane/1522630214357,,thing/traffic-lane,,16,-1,chicago/traffic-lane/1273,-87.657142,41.881715,41.881554,-87.666802
1522630219757,chicago/traffic-lane/417/thing/traffic-lane/1522630219757,,thing/traffic-lane,,23,-1,chicago/traffic-lane/417,-87.7118878282,41.7498206443,41.7496709256,-87.7218815259
1522630220274,chicago/traffic-lane/107/thing/traffic-lane/1522630220274,,thing/traffic-lane,,33,-1,chicago/traffic-lane/107,-87.6643984668,41.7940232957,41.8013171472,-87.6645931099
1522630220591,chicago/traffic-lane/29/thing/traffic-lane/1522630220591,,thing/traffic-lane,,25,-1,chicago/traffic-lane/29,-87.7223927753,41.7713729793,41.7786572624,-87.722645881
1522630215972,chicago/traffic-lane/330/thing/traffic-lane/1522630215972,,thing/traffic-lane,,24,-1,chicago/traffic-lane/330,-87.6816602454,41.713672748,41.7209382823,-87.6818720444
1522630216022,chicago/traffic-lane/313/thing/traffic-lane/1522630216022,,thing/traffic-lane,,20,-1,chicago/traffic-lane/313,-87.6884648539,41.9541499435,41.9541110923,-87.6982391845
1522630216218,chicago/traffic-lane/563/thing/traffic-lane/1522630216218,,thing/traffic-lane,,29,-1,chicago/traffic-lane/563,-87.7412632413,41.7492014587,41.7618981214,-87.741598945
1522630216438,chicago/traffic-lane/572/thing/traffic-lane/1522630216438,,thing/traffic-lane,,25,-1,chicago/traffic-lane/572,-87.7445766986,41.8659068958,41.8731382595,-87.7448074201
1522631057663,chicago/traffic-lane/211/thing/traffic-lane/1522631057663,,thing/traffic-lane,,18,-1,chicago/traffic-lane/211,-87.6482701057,41.9110568232,41.910843339,-87.6621596195
1522631057898,chicago/traffic-lane/354/thing/traffic-lane/1522631057898,,thing/traffic-lane,,29,-1,chicago/traffic-lane/354,-87.6866589587,41.8957422115,41.9030150932,-87.686843103
1522631056936,chicago/traffic-lane/242/thing/traffic-lane/1522631056936,,thing/traffic-lane,,18,-1,chicago/traffic-lane/242,-87.6421863761,41.8673568658,41.867291304,-87.6469168821
1522631056973,chicago/traffic-lane/546/thing/traffic-lane/1522631056973,,thing/traffic-lane,,32,-1,chicago/traffic-lane/546,-87.7345076889,41.8515825772,41.8515094693,-87.7394667587
1522631057148,chicago/traffic-lane/576/thing/traffic-lane/1522631057148,,thing/traffic-lane,,28,-1,chicago/traffic-lane/576,-87.7456284502,41.8949856048,41.9023415361,-87.7458024865
1522631059375,chicago/traffic-lane/122/thing/traffic-lane/1522631059375,,thing/traffic-lane,,25,-1,chicago/traffic-lane/122,-87.6675079387,41.9106292239,41.9185457037,-87.6679092691
1522631059679,chicago/traffic-lane/416/thing/traffic-lane/1522631059679,,thing/traffic-lane,,36,-1,chicago/traffic-lane/416,-87.7218815259,41.7496709256,41.7494782498,-87.7316040523
1522631059768,chicago/traffic-lane/415/thing/traffic-lane/1522631059768,,thing/traffic-lane,,29,-1,chicago/traffic-lane/415,-87.7316040523,41.7494782498,41.7492847508,-87.7413265301
1522631060168,chicago/traffic-lane/22/thing/traffic-lane/1522631060168,,thing/traffic-lane,,29,-1,chicago/traffic-lane/22,-87.720941896,41.7131708566,41.7205351179,-87.7212281119
